selection_tier,building_name_recent,building_name_long_term,month,profile_monthly_kwh_mean,profile_monthly_kwh_median,profile_monthly_kwh_std,profile_monthly_kwh_min,profile_monthly_kwh_max,profile_source_month_count,profile_source_months,overall_avg_monthly_kwh,month_factor_vs_overall
review_optional_major,IT관,IT관,1,57456.5,57456.5,1443.2049404017434,56436.0,58477.0,2,"2025-01,2026-01",43650.846153846156,1.3162745986067765
review_optional_major,IT관,IT관,2,42961.0,40544.0,8093.846983974926,36351.0,51988.0,3,"2024-02,2025-02,2026-02",43650.846153846156,0.9841962707569331
review_optional_major,IT관,IT관,3,45321.333333333336,47622.0,5219.269712644991,39347.0,48995.0,3,"2024-03,2025-03,2026-03",43650.846153846156,1.0382692966271396
review_optional_major,IT관,IT관,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662
review_optional_major,IT관,IT관,5,34896.5,34896.5,833.6788950189396,34307.0,35486.0,2,"2024-05,2025-05",43650.846153846156,0.7994461293375227
review_optional_major,IT관,IT관,6,42318.5,42318.5,4247.590434587591,39315.0,45322.0,2,"2024-06,2025-06",43650.846153846156,0.9694771975519022
review_optional_major,IT관,IT관,7,47680.0,47680.0,692.9646455628166,47190.0,48170.0,2,"2024-07,2025-07",43650.846153846156,1.0923041407250895
review_optional_major,IT관,IT관,8,39963.0,39963.0,3381.38462763407,37572.0,42354.0,2,"2024-08,2025-08",43650.846153846156,0.9155148988212405
review_optional_major,IT관,IT관,9,46059.5,46059.5,819.5367593952086,45480.0,46639.0,2,"2024-09,2025-09",43650.846153846156,1.0551800035597159
review_optional_major,IT관,IT관,10,36514.5,36514.5,1806.6578259316288,35237.0,37792.0,2,"2024-10,2025-10",43650.846153846156,0.8365129938445108
review_optional_major,IT관,IT관,11,39165.5,39165.5,901.5611460128481,38528.0,39803.0,2,"2024-11,2025-11",43650.846153846156,0.897244920796319
review_optional_major,IT관,IT관,12,55641.0,55641.0,6386.588447676897,51125.0,60157.0,2,"2024-12,2025-12",43650.846153846156,1.2746831940873469
review_optional_major,과학도서관,과학도서관,1,83886.5,83886.5,0.7071067811865476,83886.0,83887.0,2,"2025-01,2026-01",97039.88461538461,0.8644538308395795
review_optional_major,과학도서관,과학도서관,2,77275.66666666667,75497.0,10033.940718049582,68250.0,88080.0,3,"2024-02,2025-02,2026-02",97039.88461538461,0.7963289215866963
review_optional_major,과학도서관,과학도서관,3,73225.66666666667,75498.0,5355.184808513461,67109.0,77070.0,3,"2024-03,2025-03,2026-03",97039.88461538461,0.7545935051025148
review_optional_major,과학도서관,과학도서관,4,366499.0,366499.0,429336.8527601608,62912.0,670086.0,2,"2024-04,2025-04",97039.88461538461,3.776787260749644
review_optional_major,과학도서관,과학도서관,5,52706.0,52706.0,3324.8160851391463,50355.0,55057.0,2,"2024-05,2025-05",97039.88461538461,0.5431374965963639
review_optional_major,과학도서관,과학도서관,6,82837.0,82837.0,1483.5100269293766,81788.0,83886.0,2,"2024-06,2025-06",97039.88461538461,0.8536386901975676
review_optional_major,과학도서관,과학도서관,7,78641.5,78641.5,7412.600387178578,73400.0,83883.0,2,"2024-07,2025-07",97039.88461538461,0.8104038902322875
review_optional_major,과학도서관,과학도서관,8,77595.5,77595.5,2963.484519952821,75500.0,79691.0,2,"2024-08,2025-08",97039.88461538461,0.7996248172341508
review_optional_major,과학도서관,과학도서관,9,75497.0,75497.0,0.0,75497.0,75497.0,2,"2024-09,2025-09",97039.88461538461,0.7779996884706805
review_optional_major,과학도서관,과학도서관,10,62914.5,62914.5,5931.918787373947,58720.0,67109.0,2,"2024-10,2025-10",97039.88461538461,0.6483365087392694
review_optional_major,과학도서관,과학도서관,11,65008.5,65008.5,2971.969801327059,62907.0,67110.0,2,"2024-11,2025-11",97039.88461538461,0.6699152648177573
review_optional_major,과학도서관,과학도서관,12,90181.0,90181.0,2961.363199609261,88087.0,92275.0,2,"2024-12,2025-12",97039.88461538461,0.9293189120888834
review_optional_major,정보전산원,정보전산원,1,107165.5,107165.5,5209.255657001296,103482.0,110849.0,2,"2025-01,2026-01",106706.03846153847,1.0043058625836545
review_optional_major,정보전산원,정보전산원,2,98386.33333333333,99122.0,1972.2389138573767,96152.0,99885.0,3,"2024-02,2025-02,2026-02",106706.03846153847,0.9220315434050724
review_optional_major,정보전산원,정보전산원,3,105461.33333333333,101779.0,6467.394091388998,101676.0,112929.0,3,"2024-03,2025-03,2026-03",106706.03846153847,0.9883351950259704
review_optional_major,정보전산원,정보전산원,4,97780.5,97780.5,382.54476862192223,97510.0,98051.0,2,"2024-04,2025-04",106706.03846153847,0.9163539515642724
review_optional_major,정보전산원,정보전산원,5,97795.0,97795.0,418.60721446243616,97499.0,98091.0,2,"2024-05,2025-05",106706.03846153847,0.9164898389068169
review_optional_major,정보전산원,정보전산원,6,107019.5,107019.5,139.30003589374985,106921.0,107118.0,2,"2024-06,2025-06",106706.03846153847,1.0029376176173432
review_optional_major,정보전산원,정보전산원,7,115352.5,115352.5,2867.31799771145,113325.0,117380.0,2,"2024-07,2025-07",106706.03846153847,1.0810306676465933
review_optional_major,정보전산원,정보전산원,8,118334.0,118334.0,3006.6180336052003,116208.0,120460.0,2,"2024-08,2025-08",106706.03846153847,1.108971916736022
review_optional_major,정보전산원,정보전산원,9,117655.0,117655.0,70.71067811865476,117605.0,117705.0,2,"2024-09,2025-09",106706.03846153847,1.1026086404885889
review_optional_major,정보전산원,정보전산원,10,98360.5,98360.5,861.9631662664015,97751.0,98970.0,2,"2024-10,2025-10",106706.03846153847,0.9217894452660562
review_optional_major,정보전산원,정보전산원,11,103469.0,103469.0,67.88225099390856,103421.0,103517.0,2,"2024-11,2025-11",106706.03846153847,0.9696639617756474
review_optional_major,정보전산원,정보전산원,12,118475.5,118475.5,4516.2910114384795,115282.0,121669.0,2,"2024-12,2025-12",106706.03846153847,1.11029798976844
review_optional_major,제1인문관심야,인문관,1,50161.5,50161.5,48157.50733270982,16109.0,84214.0,2,"2025-01,2026-01",30225.153846153848,1.6595945302817061
review_optional_major,제1인문관심야,인문관,2,34945.333333333336,19609.0,32569.628833214134,12875.0,72352.0,3,"2024-02,2025-02,2026-02",30225.153846153848,1.1561672609246332
review_optional_major,제1인문관심야,인문관,3,35336.333333333336,24820.0,21701.978074206352,20896.0,60293.0,3,"2024-03,2025-03,2026-03",30225.153846153848,1.1691035060795856
review_optional_major,제1인문관심야,인문관,4,20466.0,20466.0,1306.73333163274,19542.0,21390.0,2,"2024-04,2025-04",30225.153846153848,0.6771181415377411
review_optional_major,제1인문관심야,인문관,5,19332.5,19332.5,1064.195705685754,18580.0,20085.0,2,"2024-05,2025-05",30225.153846153848,0.6396162645987676
review_optional_major,제1인문관심야,인문관,6,24561.0,24561.0,773.574818618083,24014.0,25108.0,2,"2024-06,2025-06",30225.153846153848,0.8126013228920385
review_optional_major,제1인문관심야,인문관,7,14487.0,14487.0,1354.816592753425,13529.0,15445.0,2,"2024-07,2025-07",30225.153846153848,0.4793027712526754
review_optional_major,제1인문관심야,인문관,8,16124.5,16124.5,1270.6708857922258,15226.0,17023.0,2,"2024-08,2025-08",30225.153846153848,0.5334795012814085
review_optional_major,제1인문관심야,인문관,9,34554.0,34554.0,3336.129793638131,32195.0,36913.0,2,"2024-09,2025-09",30225.153846153848,1.14321998742769
review_optional_major,제1인문관심야,인문관,10,19439.0,19439.0,520.430590953299,19071.0,19807.0,2,"2024-10,2025-10",30225.153846153848,0.6431398198647585
review_optional_major,제1인문관심야,인문관,11,35119.5,35119.5,17156.531831929202,22988.0,47251.0,2,"2024-11,2025-11",30225.153846153848,1.161929569614712
review_optional_major,제1인문관심야,인문관,12,53259.5,53259.5,37890.31686988115,26467.0,80052.0,2,"2024-12,2025-12",30225.153846153848,1.7620919407421733
review_optional_major,중앙도서관,중앙도서관,1,118129.0,118129.0,17701.71116022403,105612.0,130646.0,2,"2025-01,2026-01",99755.07692307692,1.1841903554552071
review_optional_major,중앙도서관,중앙도서관,2,101935.66666666667,101993.0,3815.323096846889,98092.0,105722.0,3,"2024-02,2025-02,2026-02",99755.07692307692,1.021859436239734
review_optional_major,중앙도서관,중앙도서관,3,107885.66666666667,109828.0,4359.1233445881435,102893.0,110936.0,3,"2024-03,2025-03,2026-03",99755.07692307692,1.081505523271356
review_optional_major,중앙도서관,중앙도서관,4,91345.0,91345.0,2571.0402563942866,89527.0,93163.0,2,"2024-04,2025-04",99755.07692307692,0.9156927428409273
review_optional_major,중앙도서관,중앙도서관,5,85429.0,85429.0,1224.7089450151004,84563.0,86295.0,2,"2024-05,2025-05",99755.07692307692,0.8563874905923431
review_optional_major,중앙도서관,중앙도서관,6,96047.0,96047.0,869.7413408594534,95432.0,96662.0,2,"2024-06,2025-06",99755.07692307692,0.9628281884245722
review_optional_major,중앙도서관,중앙도서관,7,93339.0,93339.0,1756.4532444673841,92097.0,94581.0,2,"2024-07,2025-07",99755.07692307692,0.9356817004108524
review_optional_major,중앙도서관,중앙도서관,8,93793.5,93793.5,627.2037149124676,93350.0,94237.0,2,"2024-08,2025-08",99755.07692307692,0.940237859495873
review_optional_major,중앙도서관,중앙도서관,9,99775.0,99775.0,6786.810885828483,94976.0,104574.0,2,"2024-09,2025-09",99755.07692307692,1.0001997199294272
review_optional_major,중앙도서관,중앙도서관,10,89606.0,89606.0,93.33809511662427,89540.0,89672.0,2,"2024-10,2025-10",99755.07692307692,0.8982600461437861
review_optional_major,중앙도서관,중앙도서관,11,93939.0,93939.0,3877.7735880270266,91197.0,96681.0,2,"2024-11,2025-11",99755.07692307692,0.9416964318762261
review_optional_major,중앙도서관,중앙도서관,12,120681.5,120681.5,3465.5303345952693,118231.0,123132.0,2,"2024-12,2025-12",99755.07692307692,1.209778025564151
