date,report_month,year,month,day,selection_tier,building_name_recent,building_name_long_term,usage_kwh_raw,usage_kwh,usage_kwh_clean,usage_kwh_imputed_continuous,cleaning_action,was_imputed_in_clean,is_original_value_reliable,is_validation_target_strict,is_validation_target_clean,is_continuity_only,is_placeholder_zero,is_partial_day,is_known_extreme_outlier,is_suspect_zero,is_auto_high_outlier,replacement_value_kwh,replacement_source_day_count,replacement_mean_kwh,replacement_median_kwh,positive_count,positive_median_kwh,positive_mean_kwh,positive_q1_kwh,positive_q3_kwh,positive_iqr_kwh,mapping_confidence,review_required,duplicate_group,zero_rate_recent,source_file,source_section,source_row_index_1based
2026-06-24,2026-06,2026,6,24,primary_reliable,건축관,공대건축관,371,371.0,1268.3478260869565,1268.3478260869565,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,1268.3478260869565,23,1268.3478260869565,1263.0,23,1263.0,1268.3478260869565,1119.0,1470.5,351.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,건축관,공대건축관,0,,,1268.3478260869565,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1268.3478260869565,23,1268.3478260869565,1263.0,23,1263.0,1268.3478260869565,1119.0,1470.5,351.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,건축관,공대건축관,0,,,1268.3478260869565,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1268.3478260869565,23,1268.3478260869565,1263.0,23,1263.0,1268.3478260869565,1119.0,1470.5,351.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
2026-06-27,2026-06,2026,6,27,primary_reliable,건축관,공대건축관,0,,,1268.3478260869565,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1268.3478260869565,23,1268.3478260869565,1263.0,23,1263.0,1268.3478260869565,1119.0,1470.5,351.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,131
2026-06-28,2026-06,2026,6,28,primary_reliable,건축관,공대건축관,0,,,1268.3478260869565,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1268.3478260869565,23,1268.3478260869565,1263.0,23,1263.0,1268.3478260869565,1119.0,1470.5,351.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,132
2026-06-29,2026-06,2026,6,29,primary_reliable,건축관,공대건축관,0,,,1268.3478260869565,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1268.3478260869565,23,1268.3478260869565,1263.0,23,1263.0,1268.3478260869565,1119.0,1470.5,351.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,133
2026-06-30,2026-06,2026,6,30,primary_reliable,건축관,공대건축관,0,,,1268.3478260869565,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1268.3478260869565,23,1268.3478260869565,1263.0,23,1263.0,1268.3478260869565,1119.0,1470.5,351.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,134
2026-06-24,2026-06,2026,6,24,primary_reliable,기계관,공대기계관,998,998.0,2344.7391304347825,2344.7391304347825,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,2344.7391304347825,23,2344.7391304347825,2357.0,23,2357.0,2344.7391304347825,1768.0,2754.5,986.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,기계관,공대기계관,0,,,2344.7391304347825,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2344.7391304347825,23,2344.7391304347825,2357.0,23,2357.0,2344.7391304347825,1768.0,2754.5,986.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,기계관,공대기계관,0,,,2344.7391304347825,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2344.7391304347825,23,2344.7391304347825,2357.0,23,2357.0,2344.7391304347825,1768.0,2754.5,986.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
2026-06-27,2026-06,2026,6,27,primary_reliable,기계관,공대기계관,0,,,2344.7391304347825,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2344.7391304347825,23,2344.7391304347825,2357.0,23,2357.0,2344.7391304347825,1768.0,2754.5,986.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,131
2026-06-28,2026-06,2026,6,28,primary_reliable,기계관,공대기계관,0,,,2344.7391304347825,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2344.7391304347825,23,2344.7391304347825,2357.0,23,2357.0,2344.7391304347825,1768.0,2754.5,986.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,132
2026-06-29,2026-06,2026,6,29,primary_reliable,기계관,공대기계관,0,,,2344.7391304347825,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2344.7391304347825,23,2344.7391304347825,2357.0,23,2357.0,2344.7391304347825,1768.0,2754.5,986.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,133
2026-06-30,2026-06,2026,6,30,primary_reliable,기계관,공대기계관,0,,,2344.7391304347825,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2344.7391304347825,23,2344.7391304347825,2357.0,23,2357.0,2344.7391304347825,1768.0,2754.5,986.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,134
2026-06-24,2026-06,2026,6,24,primary_reliable,박물관,박물관,463,463.0,704.5217391304348,704.5217391304348,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,704.5217391304348,23,704.5217391304348,736.0,23,736.0,704.5217391304348,660.0,788.5,128.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,박물관,박물관,0,,,704.5217391304348,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,704.5217391304348,23,704.5217391304348,736.0,23,736.0,704.5217391304348,660.0,788.5,128.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,박물관,박물관,0,,,704.5217391304348,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,704.5217391304348,23,704.5217391304348,736.0,23,736.0,704.5217391304348,660.0,788.5,128.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
2026-06-27,2026-06,2026,6,27,primary_reliable,박물관,박물관,0,,,704.5217391304348,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,704.5217391304348,23,704.5217391304348,736.0,23,736.0,704.5217391304348,660.0,788.5,128.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,131
2026-06-28,2026-06,2026,6,28,primary_reliable,박물관,박물관,0,,,704.5217391304348,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,704.5217391304348,23,704.5217391304348,736.0,23,736.0,704.5217391304348,660.0,788.5,128.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,132
2026-06-29,2026-06,2026,6,29,primary_reliable,박물관,박물관,0,,,704.5217391304348,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,704.5217391304348,23,704.5217391304348,736.0,23,736.0,704.5217391304348,660.0,788.5,128.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,133
2026-06-30,2026-06,2026,6,30,primary_reliable,박물관,박물관,0,,,704.5217391304348,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,704.5217391304348,23,704.5217391304348,736.0,23,736.0,704.5217391304348,660.0,788.5,128.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,134
2026-06-24,2026-06,2026,6,24,primary_reliable,사범대학,사범대학,424,424.0,1018.2608695652174,1018.2608695652174,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,1018.2608695652174,23,1018.2608695652174,1122.0,23,1122.0,1018.2608695652174,820.5,1186.5,366.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,사범대학,사범대학,0,,,1018.2608695652174,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1018.2608695652174,23,1018.2608695652174,1122.0,23,1122.0,1018.2608695652174,820.5,1186.5,366.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,사범대학,사범대학,0,,,1018.2608695652174,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1018.2608695652174,23,1018.2608695652174,1122.0,23,1122.0,1018.2608695652174,820.5,1186.5,366.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
2026-06-27,2026-06,2026,6,27,primary_reliable,사범대학,사범대학,0,,,1018.2608695652174,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1018.2608695652174,23,1018.2608695652174,1122.0,23,1122.0,1018.2608695652174,820.5,1186.5,366.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,131
2026-06-28,2026-06,2026,6,28,primary_reliable,사범대학,사범대학,0,,,1018.2608695652174,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1018.2608695652174,23,1018.2608695652174,1122.0,23,1122.0,1018.2608695652174,820.5,1186.5,366.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,132
2026-06-29,2026-06,2026,6,29,primary_reliable,사범대학,사범대학,0,,,1018.2608695652174,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1018.2608695652174,23,1018.2608695652174,1122.0,23,1122.0,1018.2608695652174,820.5,1186.5,366.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,133
2026-06-30,2026-06,2026,6,30,primary_reliable,사범대학,사범대학,0,,,1018.2608695652174,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1018.2608695652174,23,1018.2608695652174,1122.0,23,1122.0,1018.2608695652174,820.5,1186.5,366.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,134
2026-06-24,2026-06,2026,6,24,primary_reliable,상경관,상경관,893,893.0,2446.782608695652,2446.782608695652,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,상경관,상경관,0,,,2446.782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,상경관,상경관,0,,,2446.782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
2026-06-27,2026-06,2026,6,27,primary_reliable,상경관,상경관,0,,,2446.782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,131
2026-06-28,2026-06,2026,6,28,primary_reliable,상경관,상경관,0,,,2446.782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,132
2026-06-29,2026-06,2026,6,29,primary_reliable,상경관,상경관,0,,,2446.782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,133
2026-06-30,2026-06,2026,6,30,primary_reliable,상경관,상경관,0,,,2446.782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,134
2026-06-24,2026-06,2026,6,24,primary_reliable,생활과학대,생활과학대학,576,576.0,1256.9130434782608,1256.9130434782608,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,생활과학대,생활과학대학,0,,,1256.9130434782608,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,생활과학대,생활과학대학,0,,,1256.9130434782608,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
2026-06-27,2026-06,2026,6,27,primary_reliable,생활과학대,생활과학대학,0,,,1256.9130434782608,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,131
2026-06-28,2026-06,2026,6,28,primary_reliable,생활과학대,생활과학대학,0,,,1256.9130434782608,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,132
2026-06-29,2026-06,2026,6,29,primary_reliable,생활과학대,생활과학대학,0,,,1256.9130434782608,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,133
2026-06-30,2026-06,2026,6,30,primary_reliable,생활과학대,생활과학대학,0,,,1256.9130434782608,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,134
2026-06-24,2026-06,2026,6,24,primary_reliable,섬유관,공대섬유관,651,651.0,1131.391304347826,1131.391304347826,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,1131.391304347826,23,1131.391304347826,1210.0,23,1210.0,1131.391304347826,920.5,1297.5,377.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,섬유관,공대섬유관,0,,,1131.391304347826,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1131.391304347826,23,1131.391304347826,1210.0,23,1210.0,1131.391304347826,920.5,1297.5,377.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,섬유관,공대섬유관,0,,,1131.391304347826,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1131.391304347826,23,1131.391304347826,1210.0,23,1210.0,1131.391304347826,920.5,1297.5,377.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
2026-06-27,2026-06,2026,6,27,primary_reliable,섬유관,공대섬유관,0,,,1131.391304347826,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1131.391304347826,23,1131.391304347826,1210.0,23,1210.0,1131.391304347826,920.5,1297.5,377.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,131
2026-06-28,2026-06,2026,6,28,primary_reliable,섬유관,공대섬유관,0,,,1131.391304347826,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1131.391304347826,23,1131.391304347826,1210.0,23,1210.0,1131.391304347826,920.5,1297.5,377.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,132
2026-06-29,2026-06,2026,6,29,primary_reliable,섬유관,공대섬유관,0,,,1131.391304347826,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1131.391304347826,23,1131.391304347826,1210.0,23,1210.0,1131.391304347826,920.5,1297.5,377.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,133
2026-06-30,2026-06,2026,6,30,primary_reliable,섬유관,공대섬유관,0,,,1131.391304347826,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1131.391304347826,23,1131.391304347826,1210.0,23,1210.0,1131.391304347826,920.5,1297.5,377.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,134
2026-06-24,2026-06,2026,6,24,primary_reliable,외국어교육원,외국어교육원,192,192.0,430.4782608695652,430.4782608695652,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,430.4782608695652,23,430.4782608695652,508.0,23,508.0,430.4782608695652,279.0,532.0,253.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,외국어교육원,외국어교육원,0,,,430.4782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,430.4782608695652,23,430.4782608695652,508.0,23,508.0,430.4782608695652,279.0,532.0,253.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,외국어교육원,외국어교육원,0,,,430.4782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,430.4782608695652,23,430.4782608695652,508.0,23,508.0,430.4782608695652,279.0,532.0,253.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
2026-06-27,2026-06,2026,6,27,primary_reliable,외국어교육원,외국어교육원,0,,,430.4782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,430.4782608695652,23,430.4782608695652,508.0,23,508.0,430.4782608695652,279.0,532.0,253.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,131
2026-06-28,2026-06,2026,6,28,primary_reliable,외국어교육원,외국어교육원,0,,,430.4782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,430.4782608695652,23,430.4782608695652,508.0,23,508.0,430.4782608695652,279.0,532.0,253.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,132
2026-06-29,2026-06,2026,6,29,primary_reliable,외국어교육원,외국어교육원,0,,,430.4782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,430.4782608695652,23,430.4782608695652,508.0,23,508.0,430.4782608695652,279.0,532.0,253.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,133
2026-06-30,2026-06,2026,6,30,primary_reliable,외국어교육원,외국어교육원,0,,,430.4782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,430.4782608695652,23,430.4782608695652,508.0,23,508.0,430.4782608695652,279.0,532.0,253.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,134
2026-06-24,2026-06,2026,6,24,primary_reliable,음대,음악대학,240,240.0,600.4347826086956,600.4347826086956,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,600.4347826086956,23,600.4347826086956,646.0,23,646.0,600.4347826086956,504.0,670.5,166.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,음대,음악대학,0,,,600.4347826086956,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,600.4347826086956,23,600.4347826086956,646.0,23,646.0,600.4347826086956,504.0,670.5,166.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,음대,음악대학,0,,,600.4347826086956,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,600.4347826086956,23,600.4347826086956,646.0,23,646.0,600.4347826086956,504.0,670.5,166.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
2026-06-27,2026-06,2026,6,27,primary_reliable,음대,음악대학,0,,,600.4347826086956,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,600.4347826086956,23,600.4347826086956,646.0,23,646.0,600.4347826086956,504.0,670.5,166.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,131
2026-06-28,2026-06,2026,6,28,primary_reliable,음대,음악대학,0,,,600.4347826086956,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,600.4347826086956,23,600.4347826086956,646.0,23,646.0,600.4347826086956,504.0,670.5,166.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,132
2026-06-29,2026-06,2026,6,29,primary_reliable,음대,음악대학,0,,,600.4347826086956,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,600.4347826086956,23,600.4347826086956,646.0,23,646.0,600.4347826086956,504.0,670.5,166.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,133
2026-06-30,2026-06,2026,6,30,primary_reliable,음대,음악대학,0,,,600.4347826086956,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,600.4347826086956,23,600.4347826086956,646.0,23,646.0,600.4347826086956,504.0,670.5,166.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,134
2026-06-24,2026-06,2026,6,24,primary_reliable,인문계식당,인문계식당,342,342.0,495.30434782608694,495.30434782608694,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,495.30434782608694,23,495.30434782608694,577.0,23,577.0,495.30434782608694,217.0,617.0,400.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,인문계식당,인문계식당,0,,,495.30434782608694,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,495.30434782608694,23,495.30434782608694,577.0,23,577.0,495.30434782608694,217.0,617.0,400.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,인문계식당,인문계식당,0,,,495.30434782608694,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,495.30434782608694,23,495.30434782608694,577.0,23,577.0,495.30434782608694,217.0,617.0,400.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
